general_VNS_small;A-n32-k5.vrp;850.4730880038333;837.06408683058;723.4268005713452;
general_VNS_mid;A-n32-k5.vrp;644.8712646447447;642.7053144211964;589.5636156114879;
general_VNS_big;A-n32-k5.vrp;631.7894387970954;633.4569560718734;589.5636156114878;
general_VNS_small;A-n33-k5.vrp;616.9660503693269;616.4729746449975;530.9489538975579;
general_VNS_mid;A-n33-k5.vrp;496.5878855190462;492.75855997624444;479.32917970576784;
general_VNS_big;A-n33-k5.vrp;488.16386233141924;490.2537842250123;453.12560730007453;
general_VNS_small;A-n33-k6.vrp;668.4088948641872;677.7610231939036;585.0393979214635;
general_VNS_mid;A-n33-k6.vrp;531.615380958099;524.4063498241662;500.1781911962529;
general_VNS_big;A-n33-k6.vrp;517.2316540369294;514.9811984384783;500.17819119625284;
general_VNS_small;A-n34-k5.vrp;750.5673653265106;749.4710799245222;671.2001678942905;
general_VNS_mid;A-n34-k5.vrp;575.3998942480092;568.295721065024;547.1261071593549;
general_VNS_big;A-n34-k5.vrp;564.7269988409518;559.4965744410418;545.5227302948683;
general_VNS_small;A-n36-k5.vrp;817.2045132541155;810.0067415648327;667.9388205514856;
general_VNS_mid;A-n36-k5.vrp;641.5350221867461;638.6524915389709;636.5471452699194;
general_VNS_big;A-n36-k5.vrp;635.4074499470427;637.0426651317501;596.8019450178983;
general_VNS_small;A-n37-k5.vrp;714.9013393613562;709.2091519026521;637.5473503230812;
general_VNS_mid;A-n37-k5.vrp;582.7487080762243;583.4632874591391;544.2673910083209;
general_VNS_big;A-n37-k5.vrp;578.4537553019002;577.5791763423903;544.1124094752269;
general_VNS_small;A-n37-k6.vrp;878.3676096399745;884.6157756454804;757.1795210756599;
general_VNS_mid;A-n37-k6.vrp;651.2720192360392;646.9848446611379;596.7363439488526;
general_VNS_big;A-n37-k6.vrp;631.5304841594899;625.5086902783733;597.1106096192515;
general_VNS_small;A-n38-k5.vrp;723.0568683307683;732.5082289755863;610.9430104951762;
general_VNS_mid;A-n38-k5.vrp;549.5187149005101;548.0488380514137;509.22590901910576;
general_VNS_big;A-n38-k5.vrp;525.7864297943566;521.5502398213326;509.22590901910576;
